Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
135.9066,0.04882813,0.9619141,-0.1640625,-1.1875,-1.1875,0.53125,-0.1728516,0.9765625,-0.1132813,0.09375,1.8125,0.03125,169.5371,172.0797
135.9165,0.02441406,0.9775391,-0.140625,-2.625,-2.9375,0.71875,-0.005859375,1.072266,-0.03808594,-0.0625,1.5625,-0.5625,169.5371,172.0797
135.9174,0.02441406,0.9775391,-0.140625,-2.625,-2.9375,0.71875,-0.005859375,1.072266,-0.03808594,-0.0625,1.5625,-0.5625,169.5371,172.0797
135.9432,0.02441406,0.9775391,-0.140625,-2.625,-2.9375,0.71875,-0.005859375,1.072266,-0.03808594,-0.0625,1.5625,-0.5625,170.0632,172.0797
135.9772,0.02148438,0.9580078,-0.1738281,-1.65625,1.625,0.84375,-0.005859375,1.072266,-0.03808594,-0.0625,1.5625,-0.5625,170,172.0797
136.008,0.02148438,0.9580078,-0.1738281,-1.65625,1.625,0.84375,-0.005859375,1.072266,-0.03808594,-0.0625,1.5625,-0.5625,170,172.0797
136.0437,0.02148438,0.9580078,-0.1738281,-1.65625,1.625,0.84375,-0.005859375,1.072266,-0.03808594,-0.0625,1.5625,-0.5625,169.8895,172.0797
136.0774,0.07226563,0.8154297,0.00390625,-0.5,3.53125,0.84375,0.125,0.9970703,-0.2158203,-0.625,0.28125,1.3125,169.8895,172.0797
136.1083,0.07226563,0.8154297,0.00390625,-0.5,3.53125,0.84375,0.125,0.9970703,-0.2158203,-0.625,0.28125,1.3125,169.8895,172.0797
136.142,0.03808594,0.9335938,-0.2255859,1.03125,3.46875,1.6875,-0.08496094,1.092773,-0.06933594,0.21875,0.59375,0.78125,169.605,172.0797
