Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
345.5737,-0.01367188,1.016602,0.01855469,-3.125,5.71875,-1.78125,0,0,0,0,0,0,198.884,198.884
345.576,-0.01367188,1.016602,0.01855469,-3.125,5.71875,-1.78125,0,0,0,0,0,0,198.884,198.884
345.5763,-0.01367188,1.016602,0.01855469,-3.125,5.71875,-1.78125,0,0,0,0,0,0,198.884,198.884
345.6017,-0.2070313,0.9677734,0.125,-4.59375,4.125,-0.75,0,0,0,0,0,0,198.5867,198.5867
345.6349,-0.2070313,0.9677734,0.125,-4.59375,4.125,-0.75,0,0,0,0,0,0,198.2861,198.2861
345.6679,-0.2070313,0.9677734,0.125,-4.59375,4.125,-0.75,0,0,0,0,0,0,198.2861,198.2861
345.7014,-0.1601563,0.9082031,0.06445313,-3.3125,1.75,-2.6875,0,0,0,0,0,0,198.2861,198.2861
345.7352,-0.1601563,0.9082031,0.06445313,-3.3125,1.75,-2.6875,0,0,0,0,0,0,195.9512,195.9512
345.7684,-0.01367188,1.095703,0.04296875,-7.09375,1.5625,-1.46875,0,0,0,0,0,0,195.9512,195.9512
345.8019,-0.01367188,1.095703,0.04296875,-7.09375,1.5625,-1.46875,0,0,0,0,0,0,194.0935,194.0935
345.8359,-0.06445313,0.9257813,-0.09179688,-10.28125,-3.1875,-3.3125,0,0,0,0,0,0,194.0935,194.0935
345.8687,-0.06445313,0.9257813,-0.09179688,-10.28125,-3.1875,-3.3125,0,0,0,0,0,0,193.7229,193.7229
345.9025,-0.1015625,0.8232422,0.09472656,-28.875,2.25,-4.53125,0,0,0,0,0,0,193.7229,193.7229
345.9359,-0.1015625,0.8232422,0.09472656,-28.875,2.25,-4.53125,0,0,0,0,0,0,193.7229,193.7229
345.9698,-0.2167969,0.8730469,-0.078125,-22,-8,-4.09375,0,0,0,0,0,0,188.9326,188.9326
